No.	NAME	MW	AMW	nN	Rbrid	nR05	PJI2	Psi_i_0d	ChiA_X	MATS6m	MATS7v	P_VSA_MR_3	P_VSA_MR_7	Eig08_EA(dm)	Eig09_EA(dm)	Eig13_EA(dm)	Eig12_AEA(bo)	Mor13s	Molecule	U	V
19	*****	100.13	6.67533333333334	0	0	0	0.666666666666667	-0.0515721103025694	0.997766479755195	-0.420135929921681	0.815834039892152	0	9.47624747343013	0	0	0	0	-0.0547802335355198	Allylacetate.mol2	-0.37	-1.97
20	*****	76.53	8.50333333333334	0	0	0	0.5	0.227349134982899	0.997737175110326	0	0	0	48.6248915352121	0	0	0	0	0.88214218284075	Allylchloride.mol2	-0.39	-1.53
21	*****	145.22	6.60090909090909	1	0	0	1	-0.00403002345134077	0.994864049320199	0.0699916454854229	0.222688844201281	0	0	0	0	0	0	-1.53334343030567	Aniline,N,N-divinyl.mol2	-0.08	-0.73
22	*****	111.11	8.54692307692308	1	0	1	1	0.0300254661959504	0.99519948551346	0	0	0	18.9524949468603	-1.2	0	0	0	0.539732682509659	citraconimide,N-metyl	-2.77	0.59
23	*****	70.1	6.37272727272727	0	0	0	1	-0.147730869334761	0.996285960708425	0	0	0	30.3766448018327	0	0	0	0	0.868253078905263	Crotonaldehyde.mol2	-2.33	-1.17
24	*****	142.17	7.1085	0	0	0	0.666666666666667	0.00922824958422547	0.991566404705232	-0.0715500461840278	0.925412134717936	0	9.47624747343013	-1.27749755381371	-1.67439541327609	0	0	0.86405706952185	Crotonate,a-acetyl,methyl.mol2	-2.74	0.43
25	*****	148.6	8.25555555555555	0	0	0	1	-0.015857855770898	0.993965938799108	-0.607269699874876	0.12871816884237	0	52.1254980668713	-1.67439541327609	0	0	0	3.04413093598218	Crotonate,a-chloro,ethyl.mol2	-2.38	-0.71
26	*****	114.16	6.34222222222222	0	0	0	1	0.0269084861701772	0.995308583996231	-0.176691913211407	0.00267209208138015	0	18.9524949468603	0	0	0	0	1.8451944968637	Crotonate,ethyl.mol2	-1.96	-1.43
27	*****	86.1	7.175	0	0	0	1	0.0989018891487921	0.996434233147752	0.955533599160184	0	0	18.9524949468603	0	0	0	0	2.37466274851159	Crotonicacid.mol2	-2.03	1.3
28	*****	246.28	7.69625	0	0	0	0.833333333333334	0	0.996428771039223	-0.330748036112779	-0.154691275112394	0	18.9524949468603	0	0	0	0.399985511746407	-2.18433514821585	diallylphthalate.mol2	-0.77	1.35
29	*****	165.82	27.6366666666667	0	0	0	0.5	0.104338813612724	0.997511058655562	0	0	0	0	0	0	0	0	2.64156330701398	ethylene,terrachloro.mol2	-2.6	-2.36
30	*****	172.2	7.175	0	0	0	0.8	0.00268616530289936	0.996405616366441	0.215317259835881	-0.0457374957379945	0	18.9524949468603	0	0	0	0	1.28563866126606	Fumarate,diethyl.mol2	-4.05	0.56
31	*****	200.26	6.67533333333333	0	0	0	0.8	0.000741775511604238	0.997235910438508	0.142773396419382	0.0119150884058749	0	18.9524949468603	0	0	-1.67439541327609	-0.704167018461826	4.5625783232401	Fumarate,diisopropyl.mol2	-4.31	0.17
32	*****	130.11	8.674	0	0	0	0.666666666666667	-0.0205310951467874	0.996474991950498	-0.429985623120524	1.32158151777568	0	0	-1.63281386493388	0	0	0	2.06432228003671	iitaconicacid.mol2	-2.5	0.54
33	*****	112.09	9.34083333333333	0	0	1	0.333333333333333	0.0319586616363364	0.99585869981537	0	0	0	0	-1.9419179780098	0	0	0	0.955959192476021	iitaconicanhydride.mol2	-2.51	0.83
34	*****	83.1	7.55454545454545	1	0	0	1	0.0978953314490268	0.996434233147752	0	0	0	2.75674755352504	0	0	0	0	1.90954419187152	isopropenylisocyanate.mol2	0.14	-0.87
35	*****	190.22	7.04518518518518	0	0	0	0.8	-0.0014771892410869	0.995264339507571	0.0947636639997257	0.077885410527885	42.6833431609212	0	0	-0.998042811608899	0	-0.906825988687397	-2.77198763072726	malate,diethyl.mol2	-2.51	-0.83
36	*****	98.06	10.8955555555556	0	0	1	1	-0.0590082306167922	0.997542560310247	0	0	0	18.9524949468603	0	0	0	0	3.10014697927971	maleicanhydride.mol2	-5.2	1.22
37	*****	161.22	7.0095652173913	1	0	0	0.75	0.00235650327341388	0.998003878855291	-0.469678049145817	-0.137048476712138	0	0	0	0	0	-0.798431897060302	0.503470144727498	methacrylamide,N-phenyl-.mol2	-1.26	-0.08
38	*****	193.05	10.725	0	0	0	1	-0.0153027552316035	0.996632967283786	0.151759318427296	0.0279769091225562	0	0	-1.67439541327609	0	0	0	0.930613660239892	methacrylate,2-bromoethyl.mol2	1.97	0.47
39	*****	148.6	8.25555555555556	0	0	0	1	-0.0160878361432504	0.996632967283786	0.293078321213757	0.180200569792911	0	39.148644061782	-1.67439541327609	0	0	0	1.84629322116547	methacrylate,2-chloroethyl.mol2	-1.39	0.42
40	*****	130.16	6.85052631578947	0	0	0	1	-0.0168260838070288	0.996632967283786	0.0887068832682454	0.230877695770178	42.6833431609212	0	-1.67439541327609	0	0	0	0.275223711336173	methacrylate,2-hydroxyethyl.mol2	-1.45	0.34
41	*****	248.4	5.91428571428571	0	6	0	0.75	0	0.997693407592615	0.225525748690696	0.027429341191151	0	0	0	0	0	0.434914693853359	3.16520447740648	methacrylate,3,5-dimethyladamantyl.mol2	1.04	0.1
42	*****	176.23	7.0492	0	0	0	1	-0.00126881604989758	0.998095649178603	0.232819225658608	-0.519761847027125	0	0	0	0	-1.72739243604819	-0.500000000000001	0.901583532228822	methacrylate,benzyl.mol2	-1.4	0.26
43	*****	142.22	5.92583333333333	0	0	0	0.75	0.00773631746600221	0.997007082030032	-0.0991325607618373	-0.148152858852004	0	0	0	-1.67439541327609	0	0	1.34919729441498	methacrylate,butyl.mol2	-1.49	0.26
44	*****	142.17	7.1085	0	0	0	1	0.00816766826213914	0.997767346065432	0.133445969883294	-0.404214696191873	10.9998878876064	0	0	-0.86	0	0	0.457206076575343	methacrylate,glycidyl.mol2	1.32	0.34
45	*****	142.22	5.92583333333333	0	0	0	1	0.00790217915194689	0.99743875503336	-0.257258759217515	-0.762926743921985	0	0	0	-1.67439541327609	0	0	2.0498765199255	methacrylate,isobutyl.mol2	-1.43	0.27
46	*****	100.13	6.67533333333334	0	0	0	1	-0.0523941777780499	0.994674845697604	0.840271859843361	0	0	0	0	0	0	0	1.57068420536471	methacrylate,methyl.mol2	-1.18	0.23
47	*****	162.2	7.37272727272727	0	0	0	0.75	0.00243864533158925	0.998003878855291	-0.530987177595399	-0.112221815432347	0	0	0	0	0	-0.7984318970603	-0.0221043299688427	methacrylate,phenyl.mol2	-2.22	0.62
48	*****	86.1	7.175	0	0	0	0.5	0.102382935734915	0.997511058655562	0	0	0	0	0	0	0	0	0.883221524494392	methacrylicacid.mol2	-0.95	0.39
49	*****	84.13	6.00928571428572	0	0	0	0.5	0.0852616344241024	0.997511058655562	0	0	0	0	0	0	0	0	-0.0887314911130379	methacryloacetone	-1.98	0.88
50	*****	67.1	6.71	1	0	0	0.5	-0.156789994900466	0.99721028347194	0	0	0	0	0	0	0	0	0.0551031744060393	methacrylonitrile.mol2	-2.08	0.44
