No.	NAME	MW	AMW	Mi	nTA	nTB	nN	nS	nBR	Rbrid	nR05	nR10	BLI	PJI2	PW2	Psi_i_A	Psi_i_0d	X3A	X5A	rGes	CIC5	VE1sign_A	ChiA_X	VE1sign_Dz(Z)	VE2sign_Dz(v)	VE1sign_B(s)	ATSC1e	MATS1m	MATS2m	MATS4m	MATS5m	MATS6m	MATS7v	MATS1e	MATS8e	MATS4p	MATS5i	MATS8i	MATS1s	JGI3	JGI6	JGI7	JGI8	P_VSA_LogP_2	P_VSA_LogP_5	P_VSA_LogP_8	P_VSA_MR_3	P_VSA_MR_7	P_VSA_ppp_N	Eig03_EA(dm)	Eig04_EA(dm)	Eig05_EA(dm)	Eig06_EA(dm)	Eig07_EA(dm)	Eig08_EA(dm)	Eig09_EA(dm)	Eig10_EA(dm)	Eig11_EA(dm)	Eig13_EA(dm)	Eig14_EA(dm)	Eig15_EA(dm)	Eig12_AEA(bo)	ASP	PJI3	HOMT	DISPi	DISPs	VE1sign_G	VE1_RG	VE1sign_G/D	TDB04m	RDF130m	Mor06u	Mor10u	Mor11u	Mor04m	Mor21m	Mor29m	Mor30p	Mor32i	Mor08s	Mor10s	Mor13s	Mor15s	Mor22s	Mor24s	G2u	G3u	E1u	E3m	E2e	E1s	HATS1u	HATS2u	HATS3u	H2s	nR=Ct	nRNCO	nArCOOR	nRCONHR	nRCOX	nRCHO	nRCO	nOHp	nROR	nArOR	nO(C=O)2	nArX	nPyridines	C-003	C-005	C-006	C-018	C-019	H-051	Cl-086	SssssC	SsssN	NdsCH	CATS2D_08_DL	CATS2D_03_AA	T(N..O)	B01[O-S]	B05[O-Cl]	U	V
1	*****	152.2	7.61	1.08304	0	0	0	0	0	3	1	1	0.889010887336188	0.666666666666667	0.581746031746032	1.88888888888889	0.00185277980015679	0.166927630373843	0.0724935199528874	0.5	0.900000000000001	0.146270947400289	0.997656728563608	0	0	0.0750561416123037	0.0140909183999998	0.0606060606060612	-0.0740740740740736	-0.207317073170732	-0.388888888888889	0.785714285714285	1.5	0.0606060606060537	0	-0.207317073170732	-0.388888888888888	0	-0.105716273946402	0.0470679012345679	0	0	0	0	11.5170786680602	0	0	18.9524949468603	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0.259109563186735	0.882662457248093	5.21191459999999	0.0563420301960353	0.00827081077891988	0	3.93395674075023	0.00829100558566257	1.52175405839024	0	-2.23563932355334	0.544390635205676	-0.149149645801134	-0.691078176682919	-0.0921847913897475	0.192428294273609	0.0657444798870118	-0.107549072863013	-1.3763737723483	1.89983557685983	-1.36978867548821	2.48798112752104	-0.674928305652769	0.344260550395287	0.187901824709108	1	0.50889576796227	0	0.482249179494715	0.397598194368727	0.147881285221165	0.200183563610115	0.333003076034823	3.43893687026149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1.33	-0.46
2	*****	102.14	7.29571428571429	1.08897142857143	1	1	0	0	0	0	0	0	0.918509526419165	0.666666666666667	0.525	2.27083333333333	0.0245352338435213	0.230209514058122	0.110517171552254	0.75	0.571428571428572	0.0892330480304993	0.997064155650224	0.100551479184548	0.0125689348980685	0.0552840587779902	0.00995433795918362	0	-0.2125	-0.189814814814815	0.108333333333333	0.166666666666667	1.33333333333333	0	0	-0.189814814814815	0.108333333333334	0	-0.0713796596637975	0.0267857142857143	0	0	0	0	3.18557495074005	0	0	17.0305737751103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49948822567876	0.931496265773886	5.89356989999999	0.230914511024553	0.374636986459903	0.216058931446963	2.54951095173406	0.015416191100656	0.992146172489445	0	-1.86152696526917	-0.00591075925094512	0.0876272774072995	-0.531196452896325	-0.166259967834562	0.0644715637054895	0.0634690830746555	-0.146691909391257	0.406975004380206	-0.516457864053659	-0.24510200933249	0.590406091210499	0.447826659725296	0.0151360107023534	0.738942226203738	1	0.407886576675798	0.127152412661728	0.431899287404766	0.444805785753349	0.175888305190519	0.188845573597334	0.377794191727418	2.03608950722608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.88	0.37
3	*****	70.1	6.37272727272727	1.13227272727273	3	0	0	0	0	0	0	0	1.0334480891877	0.5	0.516666666666667	3.13333333333333	-0.154648746574318	0.408248290463863	0	1	0	0.28322724867526	0.99721028347194	0.0349540731553957	0.00530945119992994	0.310080738167938	0.00133892256198336	-0.0890970438524087	0.0591161649082935	0.101999467068274	0	0	0	0	0	0.562005240320832	0	0	-0.0786018650783103	0	0	0	0	15.7669199961202	3.18557495074005	0	0	11.4241498549724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411942250874883	0.888240200166806	-0.502178100000001	0.100509604494142	0.713940462123734	0.081826684038651	2.37131045845011	0.0295304769862931	0.1498142030725	0	-0.704088738937221	-0.494835121820387	-0.300642479899735	-0.27252774318463	-0.118991821579312	-0.0507953794214125	-0.00241330914806439	0.145249816303114	2.77365620112228	-2.2253914633678	0.603621366310295	0.0791800230827012	0.377752447891296	0.0821230882618825	0.224243824217575	0.621369159703465	0.590974451067455	0.00459420819230172	0.464437628740082	1.21915172876331	0.273990806543763	0.912314770980569	0.617987977139667	1.86654381171216	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1.73	0.77
4	*****	56.07	7.00875	1.129975	2	0	0	0	0	0	0	0	0.977283884192713	0.5	0.416666666666667	3.5	0.277665703530645	0.5	0	1	0	0	0.997737175110326	0.0122440883729538	0.00424155314829824	0.12106794318127	0.00731385703125	-0.0953456569471345	-0.290480768902763	-0.239480423807844	0	0	0	-0.00133381949917082	0	0.573009271267593	0	0	-0.099273607748184	0	0	0	0	15.7669199961202	0	0	0	20.9003973284025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.781079865276822	0.890114552397115	0.0695377199999992	0.0432994296974142	0.708235824366903	0.0348061953582722	2.39897504086261	0.0245003027598999	0.2454843909275	0	-0.956728845037851	-0.24766116077524	-0.157639843563798	-0.434284254401659	-0.0318146504344238	-0.0372644884111301	0.0120970764877839	0.170920226856447	1.78101181097945	-1.35941394693275	0.192987814190179	-0.868649721665087	-0.397111717386662	-0.296697741403149	0.25	1	0.54140855051169	0	0.383609562858553	1.18612289696421	0.159978716452417	0.377655009055515	0.67642771293169	1.12838031823752	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	-2.75	0.59
5	*****	323.63	5.05671874999999	1.1408078125	3	0	1	0	0	0	0	0	1.39250560119142	0.909090909090909	0.5	1.89855072463768	0	0.261780963843363	0.12747644306241	1	2.0498976468736	0.135457760195801	0.998792296440028	0.0952221965007412	0.000360615562659768	0.000838473267728977	0.0778434215356439	-0.0229039300841369	-0.189424843415445	-0.0300417715760492	-0.00449340815850992	0.00240982197490176	0.00155442851937036	-0.00329322774797764	-0.00647710524053622	0.00622178948506021	-0.00723160600272517	-0.00181673565092611	0.00655370653851659	0.0119047619047619	0.00480192076830732	0.00390625	0.00329218106995885	76.4358828483356	0	0	0	9.47624747343013	0	0	0	0	0	0	0	0	0	0	0	0	0	0.923548671749526	0.977301854795755	0.93051046487532	-0.321055320000006	0.0402790185677335	1.2945642045905	0.0850206703916659	2.69076929212489	0.0171609694155206	0.760798751011464	0.000853134004419636	9.61443883043255	-0.315110845519727	1.55189858960958	-1.40554476888588	-0.217263646121407	-0.044280015998148	-0.0452225094382741	0.947345284062704	4.20709305952608	0.146122609411524	3.66693599416716	-0.288512291174733	3.3620020170262	2.61282352275317	0.184427649676809	0.343844430981291	0.534247884685112	0.0228146491019325	0.650165568514033	0.698083541595496	0.0650365889676369	0.179122461302757	0.366778088954805	2.92786693673662	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	1.56	0.35
6	*****	71.09	7.109	1.15381	3	0	1	0	0	0	0	0	0.892292028664066	0.5	0.516666666666667	3.53333333333333	-0.17619858341668	0.408248290463863	0	1	2.39315685693242	0.283227248675261	0.99721028347194	0.0271651442887763	0.0183335427730313	0.0427647810227775	0.0359991019	-0.139821870481078	0.125234359810528	-0.578390955275892	0.966878974613877	0	0	-0.19272617195307	0	-0.0491061516341051	0.269731039093878	0	-0.317392832453369	0	0	0	0	48.6641074681857	0	0	0	9.47624747343013	0	0	-0.979795897113272	0	0	0	0	0	0	0	0	0	0	0	0.360067396877624	0.632486388384755	-0.090906120000001	0.508535134184185	0.479630241481794	0.0168674662495091	2.0670390092165	0.0237991252893232	0.2884575524225	0	-1.32166802404932	-0.270603823942326	-0.11343209822183	-0.269673497365735	0.00952582783463693	-0.0335306717454268	-0.00512864939099096	0.107337337063027	1.40745115489887	0.0704188132988694	0.521831618407461	0.974650245442014	0.208904885344749	0.0860819666622726	0.231378213159759	1	0.574107341763836	0.0279397628370938	0.493432436976721	0.323313409366855	0.305472237978442	0.648184967570372	1.35481089662318	0.56294582539879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	-1.82	-0.07
7	*****	173.19	7.53	1.14834347826087	5	0	1	0	0	0	0	0	0.965672038267882	0.75	0.547619047619048	3.29166666666667	0.00289990041503208	0.245720509232544	0.0992004050331746	0.916666666666667	0.55456032618102	0.185950415013014	0.99476877527938	0.0665496652857878	0.00596925410122483	0.117112186412505	0.152028961247638	0.0353419861926066	0.0900637774389096	-0.322431395938706	-0.13562524388817	0.121205147893476	-0.295965006716216	0.181474744906779	-0.0954395408677544	0.0912320417527639	0.0604720163823026	-0.0309166596337658	-0.0139987245499909	0.0480769230769231	0.0153061224489796	0	0	22.8938366183644	10.9998878876064	50.7469140783068	50.7469140783068	9.47624747343013	0	0	0	0	0	0	0	-0.61245154965971	-1.67439541327609	-2	0	0	0	0	0.3401832204037	0.777583951155692	0.0603298199999984	0.446029448904852	0.770928353011331	0.218620651549044	2.76242292550401	0.123132697796888	1.42091003769867	0	-1.43388990126427	-0.314587981837082	-0.469720757128236	0.154805090330304	-0.246842095810758	-0.0979496512926287	0.00645713888748433	0.0530115176326592	0.0857804137812794	2.32279884197533	5.67659247186797	-1.27018304887742	0.640056176766524	-0.359138604474581	0.232667699576653	0.207304925958724	0.46471209620787	0.180052751010065	0.464951278211979	0.663120251835284	0.228788445219402	0.431606381402623	0.63001543553769	8.28432012402595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	8	0	0	-2.39	0.44
8	*****	162.2	7.37272727272727	1.1134	3	0	0	0	0	0	0	0	0.89518339351099	0.75	0.556349206349206	2.54166666666667	0.00243864533158925	0.21860660887967	0.0928781705107576	0.833333333333334	0.670676704643794	0.0574842052664029	0.995743646029304	0.0992421215408709	0.0271705203935308	0.0108824698996292	0.00533511000000051	0.0240675342809597	0.0468714229500752	-0.316841375233274	-0.18987576003468	-0.0436647213049715	0.0504629136363624	-0.00435725022329079	0.208612839746431	-0.127885180634425	-0.224729882424798	0.098098030233624	-0.106213113198518	0.0541666666666667	0.0251020408163265	0.0277777777777778	0	15.7669199961202	17.3710377890865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.781150599701064	0.370357040898058	0.644764288694201	3.95317161999999	0.480956901835559	0.482927551615536	0.0456232326295367	2.10726389327684	0.0652862350798303	1.5495376516135	0	-1.76529096170355	-0.541453017023242	0.0659353507683985	-0.229361978195316	-0.159827808375946	0.0563680597649628	0.0416662180424323	0.212976150747027	1.95920357111575	-0.21406741620011	1.24650086146089	0.697954804590818	-0.659060764166138	-0.292632029060878	0.183169250913634	0.238012699564639	0.568865398714893	0.100494255807582	0.428329975730746	0.583809851370343	0.283949256843683	0.42311400308447	0.453853447428698	5.13776676251777	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.13	1.2
9	*****	162.2	7.37272727272727	1.1134	2	0	0	0	0	0	0	0	0.914520960808396	1	0.538888888888889	2.52777777777778	0.00241292379500129	0.232625502227169	0.100441614710957	0.833333333333334	0.545454545454546	0.0478786749254159	0.997967518561014	0.116603520729305	0.0185501194464289	0.143013345070825	0.00533511000000051	0.0240675342809598	-0.0769474000019855	-0.226535277390568	0.149810052515245	0.0354380089698755	-0.360292356705624	-0.00435725022329079	0.0244176748019446	0.0453351821295348	0.0462946360403993	-0.0601502137730934	-0.0954753273433939	0.015625	0.0117784256559767	0.0177951388888889	0.0204081632653061	20.3593048791644	14.1854628383465	0	0	9.47624747343013	0	0	0	0	0	0	0	0	0	-0.636015229285823	0	0	0	-0.818896169289495	0.584208018331587	0.768707482993197	5.81451797999999	0.318303236171102	0.562763467518481	0.0805540389756678	2.43886757201544	0.0533793301062893	1.26265515213105	0	-2.51398408476765	-0.563482172103196	0.116483109512724	-0.0837593088941756	-0.0516266420204019	0.129277184785854	-0.0326477144903368	0.143184720383633	-0.469238577613987	-0.43035685239612	0.520403577805585	2.21832615067907	-0.743367969975534	0.7370299694969	0.210991164384537	0.210991164384537	0.565012559264673	0.0169430402885488	0.557108943175656	0.548263470054625	0.206712198657814	0.419711917443675	0.491791699357647	4.84406659259113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	-2.68	0.28
10	*****	128.19	6.10428571428572	1.13857142857143	3	0	0	0	0	0	0	0	1.16285761173896	0.75	0.5	2.62962962962963	-0.0144754008183575	0.285342891530089	0.133768693627046	1	0.607375595341119	0.182574185835056	0.996678815210077	0.21251813222787	0.0135998350618296	0.0420176013304061	0.00348722489795875	-0.0158119946238328	-0.0146802985205886	-0.188948950806728	-0.163530411706979	-0.156732729637384	-0.225497502428121	0.00279514214825292	0.14736253741038	0.076347301937199	0.0972159194653058	-0.12561107892532	-0.0538385502829198	0.0357142857142857	0.0136054421768708	0	0	25.4283683575644	10.9998878876064	0	0	9.47624747343013	0	0	0	0	0	0	-1.67439541327609	0	0	0	0	0	0	0	0.654657900918759	0.774744027303754	-0.0187501200000035	0.267660784242001	0.766865367902067	0.158749791068222	2.74177147117216	0.0243524805748121	0.993146675938788	0	-1.82257676906801	-0.566796533589873	-0.421215650292664	-0.392480858936604	-0.0691046503192785	-0.00451887247609995	-0.0290657682609179	0.0689945895572589	1.86159546926811	-0.873121206512169	0.890367143458362	1.00706677057842	-0.343162573458183	-0.201738993600175	0.185449023415369	0.776591991751736	0.573293637746507	0.0104687122861287	0.533489373329277	0.526178681937106	0.191051966042906	0.470182549042382	0.768312542089955	3.27955312416206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	-2.22	0.12
