No.	NAME	MW	AMW	Mi	nTA	RBF	nDB	nN	nS	nCsp	nR05	Ram	BLI	PJI2	Psi_i_0d	X3A	X4A	X5A	IC1	VE1sign_Dz(e)	VE2sign_Dz(p)	VE1sign_B(s)	MATS6v	MATS1e	MATS4e	MATS7e	MATS8e	MATS4p	MATS5p	MATS2i	GATS3e	JGI7	P_VSA_LogP_5	P_VSA_LogP_8	P_VSA_MR_3	Chi1_EA(dm)	SM03_EA(dm)	SM15_AEA(dm)	Eig04_EA(dm)	Eig05_EA(dm)	Eig07_EA(dm)	Eig08_EA(dm)	Eig09_EA(dm)	Eig10_EA(dm)	Eig11_EA(dm)	Eig12_AEA(bo)	SpMaxA_G/D	VE1sign_G/D	RDF040m	Mor10u	Mor24u	Mor29m	Mor30v	Mor16s	Mor22s	G1u	G3u	E1u	E3v	E2e	Dp	ISH	HATS3u	HATS6m	HATS4s	R2u+	nROR	nArOR	nCH2RX	C-003	C-006	C-018	C-019	C-028	C-038	H-051	B04[C-N]	Molecule	U	V
11	*****	119.18	6.62111111111112	1.11995	1	0.0555555555555556	4	1	0	0	0	1	0.977893804628057	0.666666666666667	-0.0128528108150097	0.232008649143747	0.16110587746718	0.111833792320231	2.52262030953102	0.0563238370684494	0.0017006391641971	0.00447276588298079	0.107904266985257	0.0663579175159924	-0.385505698993951	0.533050388012792	0	-0.290132377065651	0.00127466416795172	-0.188642194516066	1.330865910696	0	16.7855295481303	0	0	8.87762994369601	0	-0.999999999999999	0	0	0	0	-0.794984276574072	0	0	0	0.988934274374039	0.0708950616637611	0.817661500520593	0.0221797054125113	-0.283061516093565	-0.0473647672361864	-0.0471911010313997	-0.31450274327023	0.112333871594884	0.229653497467914	0.307538144272259	0.531425509099669	0.13625051800562	0.493246675257278	0.300898080443377	0.859793388095232	0.823112347378655	0.0166343873345368	1.46879694602013	0.153579384774049	0	0	0	0	1	0	0	0	1	0	0	Pyridine,2-vinyl.mol2	-0.98	0.32
12	*****	133.21	6.34333333333333	1.12258571428571	2	0.0952380952380953	1	1	0	0	0	2	1.03464423845842	1	0.00692471662312498	0.217579434031251	0.142925986958075	0.0995883117949487	2.87449347130604	0.127327563097986	0.00873375550602093	0.0723278960806387	-0.212500648470542	0.0705229855073191	-0.522045077382832	0.260529729698679	0.505354760944045	-0.139983924480962	-0.281144614075534	-0.262412440015249	1.74577909394412	0	5.51349510705008	0	0	1.47058823529412	0	-1.3335210305435	0	0	0	0	0	0	0	0	0.985348152275302	0.00709361219944053	0.209189143515818	-0.399690239686636	0.167790727256086	0.0134461652485586	0.0113162331969465	0.291719148932802	0.226226693961688	0.215011055865868	0.276168141956729	0.552188909040646	0.108089729757876	0.419302524988636	0.283419879142803	0.879588001734408	0.707119360321057	0.0418159097842385	0.879352498535117	0.15884869136682	0	0	0	0	0	0	0	2	0	2	0	Pyridine,2-vinyl-5-ethyl-.mol2	-0.2	0.12
13	*****	105.15	7.01	1.11626	1	0.0666666666666667	1	1	0	0	0	1	0.921501802653484	0.666666666666667	0.0241244815238506	0.230209514058122	0.159538795684235	0.110517171552254	2.33012496531497	0.173019226289764	0.00380570630302557	0.0356492138990822	0.625492642129111	0.0583444606014512	0.0123567843611253	0	0	-0.419777317280996	0.118317043412078	-0.0443343127123618	0.999584160115689	0	21.2804151031703	0	0	0	0	-2.34683471368065	0	0	0	0	0	0	0	0	0.996773207307465	0.0369042140104723	0.199181587682407	-0.381516474164419	-0.174761773531975	0.0195927498543205	0.0950240500141477	0.564774400073388	-0.17921278328696	0.203795047090506	1	0.538341938465639	0.062503026138407	0.488929685198644	0.26096984826173	0.718546354076522	0.818282992384861	0.0123672024779155	1.52041386590314	0.19110566772964	0	0	0	0	0	0	0	0	0	0	1	Pyridine-4-vinyl.mol2	-0.94	0.3
14	*****	173.04	10.815	1.0968	3	0.0625	1	0	0	0	0	3	1.07065521473968	0.666666666666667	0.00803840895519739	0.209936090272426	0.138695744143023	0.0983098604441498	2.48345859334435	0.110443501312848	0.0107412683291673	0.0521213868733832	-0.0398972493401521	0	-0.265868570041163	0.486208989219692	0	-0.316774504564293	-0.065435131530183	-0.137380004359717	1.14346554439247	0	10.1867880140584	78.297288123564	0	1.28205128205128	0	-1.77828187151266	0	0	0	0	0	0	0	0	1.04371208828853	0.0105157228415296	11.5640259190222	-0.21721680271146	-0.036076912373794	-0.158930735523558	0.0354157134230307	0.321315519791407	0.427589237900872	0.242424242424243	0.242424242424243	0.53526953073671	0.0426222369330479	0.480074252572301	0.319735967415592	0.879588001734408	0.8407574592567	0.0677737183926174	2.97795198802956	0.182862234245076	0	0	0	0	0	0	0	0	0	0	0	Styrene,2,5-dichloro.mol2	-1.98	0.67
15	*****	148.22	6.44434782608696	1.11741739130435	2	0.130434782608696	1	0	0	0	0	2	0.977697521393004	1	-0.00390734764779749	0.210328210681774	0.150641947895982	0.0989860597804267	2.6274906310815	0.124504030467808	0.0509071448210624	0.11558413478038	0.0640176557445067	0.0372460487892105	-0.138364583242623	0.132597998426703	0.287041833557206	-0.0507729186344955	-0.270451050927325	0.0671330897435953	0.98242070052111	0	3.18557495074004	0	10.9998878876064	6.85694263870503	1.21964455836015	-0.268044799891236	0	0	0	0	0	-0.68	-1.22099347965257	0	0.973328378260185	0.056184520788145	0.753624905623586	-0.169353358365781	0.00233216856958057	0.0526995619637285	-0.000414698269066546	0.519300712440066	-0.811395216466726	0.207304925958724	0.207304925958724	0.587197256892862	0.155189554241306	0.539491935865962	0.348402233598535	0.822490874308204	0.506230078733001	0.0521084217300333	1.22368598727868	0.124800409277989	1	0	0	0	0	0	0	0	0	0	0	styrene,a-methoxy	0.41	-0.49
16	*****	162.25	6.24038461538461	1.11983846153846	3	0.115384615384615	1	0	0	0	0	3	1.02891036752463	1	0.00213969958670459	0.209275913656424	0.141227855205718	0.0921594772337251	3.0403912774207	0.1764198699921	0.0285546455644374	0.0666614904160292	-0.0349441814722707	-0.088799518451868	0.0773206558017557	0.119395963071713	-0.055293083625662	-0.0809706059611462	-0.13731210984443	-0.0436722707587362	1.45070879358089	0.0208333333333333	6.37114990148009	0	42.6833431609212	2.33952948451283	0	-0.2387210525683	0	0	0	0	0	0	0	-0.742319204558241	0.95873454660656	0.0262641862029863	0.847288265667994	-0.863398508769407	-0.157682295044107	0.000788418901026458	0.0412001467003185	0.244903206447341	-0.00753318543295786	0.175425063581955	0.268029086881253	0.528379417595315	0.167912423672687	0.456041151398784	0.299304347902618	0.639471472825565	0.598979483312138	0.0374604980622595	1.28788546427653	0.106600713915426	0	0	0	0	0	0	0	0	0	0	0	Styrene,p-1-(2hydroxypropyl).mol2	-0.6	0.16
17	*****	160.23	6.67625	1.112525	3	0.125	2	0	0	0	0	3	0.945023077790433	1	0.00223180044863452	0.209275913656424	0.141227855205718	0.0921594772337251	2.78145364592348	0.0420804992377794	0.0344607241586941	0.00766742604390131	0.0101597495868116	0.0356314330256168	-0.0686045352083533	-0.114905178229771	-0.0840148871198975	-0.033191703386822	-0.264824006703494	-0.103420626044577	2.48337441379744	0.0208333333333333	19.4288909329307	0	0	6.74454649003004	0	-0.238721052568296	0	0	0	0	0	0	0	-0.716927126346759	0.988713252483533	0.126906457773615	0.376686758513005	-0.0620965398772738	-0.28769878791089	0.0865399341223802	0.152818868933282	-0.0674697997466688	-0.0262200109022809	0.179052231751041	1	0.55703800603307	0.0150495626885642	0.473647174186302	0.253169195872873	0.90701901811629	0.308391580557678	0.0275261414810546	0.755074095071567	0.334504071114657	0	1	0	0	0	0	1	0	0	0	0	styrene,p-acetoxy.mol2	-0.44	0.07
18	*****	152.63	8.03315789473684	1.10631578947368	2	0.0526315789473684	1	0	0	0	0	2	1.10208832393054	0.75	0.00723219316963016	0.222930502397717	0.146284339793186	0.0919627825494395	2.68732306847499	0.0553080150748451	0.00587073406767224	0.0468395912267818	0.136642889965655	0	-0.0692126028430824	-0.173042108874981	-0.550381169511689	-0.191326679116546	0.171356594528231	-0.00498751041872153	0.550688263005262	0	6.3711499014801	0	0	4.38334687547143	0	-0.967430078680553	0	0	0	0	0	-1.0299514551667	0	0	1.01422746359913	0.00236429975474797	0.442376674800593	-0.585410478011481	-0.0897490063967541	-0.00386422027775953	0.0384655812310889	1.00726486608322	0.0234128577643096	0.190551412426773	0.340845187286196	0.526537196296486	0.216600042542193	0.427534563717448	0.31677626623718	0.939794000867204	0.475502472036797	0.142139255654947	2.35026549767196	0.163537630365044	0	0	1	0	1	0	0	0	0	0	0	Styrene,p-chloromethyl.mol2	-0.62	0.21
19	*****	118.19	6.22052631578948	1.10926315789474	2	0.0526315789473684	1	0	0	0	0	2	1.00609687670153	1	-0.0122676169217606	0.226064895258681	0.14478029496488	0.0981266748466582	2.54232898941376	0.0549171133571348	0.00610190148412609	0.054585067078237	-0.117171717171717	0	-0.237654320987653	-0.287499999999997	0.90000000000001	-0.237654320987654	0.185470085470086	0.0274074074074068	1.19428571428571	0	6.3711499014801	0	0	1.47058823529412	0	-2.78667279452739	0	0	0	0	0	0	0	0	1.00007539500294	0.040585120727068	0.424353751646406	-0.544833269018248	-0.062586105417372	0.0549897287047245	0.0311927862913055	0.397745850291809	-0.290387857317511	0.190551412426773	1	0.530591266077713	0.0194785687231026	0.452052562506688	0.222841397425141	0.833333333333334	0.390851184136253	0.0190934094963539	1.25776200452383	0.341947934305388	0	0	0	0	0	0	0	0	0	0	0	styrene,p-methyl.mol2	-0.2	0.08
20	*****	104.16	6.51	1.1038	1	0.0625	1	0	0	0	0	1	0.977852635343113	0.666666666666667	0.0225446918872266	0.230209514058122	0.159538795684235	0.110517171552254	1.7743974703477	0.139124306950021	0.0173905383687526	0.0686484514780494	0.250000000000001	0	-0.249999999999998	1.00000000000002	0	-0.25	0.0588235294117659	-0.166666666666669	1.03448275862069	0	3.18557495074004	0	0	0	0	-2.34683471368065	0	0	0	0	0	0	0	0	0.993562222997076	0.00466036534440388	0.0828708004621716	-0.142693520140144	-0.365661066797752	0.0856270611540008	0.0181445826913772	0.516639127338477	0.532754935356769	0.285714285714286	0.336772800935025	0.522150941996707	0.0351883814282623	0.390014866477926	0.224141137905664	0.833333333333334	0.784923868769895	0.0121169675299247	1.23149137629008	0.269194225280998	0	0	0	0	0	0	0	0	0	0	0	Styrene.mol2	0	0
